epoch,train_loss,train_acc,val_acc
1,0.6901,0.5860,0.8333
2,0.6153,0.8344,0.8333
3,0.3321,0.9045,0.8333
4,0.2125,0.9363,0.9000
5,0.0916,0.9745,0.9000
6,0.0256,1.0000,0.9000
7,0.0317,0.9936,0.9333
8,0.0388,0.9936,0.9333
9,0.0088,1.0000,0.9333
10,0.0149,1.0000,0.9333
11,0.0090,1.0000,0.9333
12,0.0038,1.0000,0.9667
13,0.0086,0.9936,0.9000
14,0.0033,1.0000,0.9000
15,0.0029,1.0000,0.9333
16,0.0044,1.0000,0.9333
17,0.0071,1.0000,0.9333
18,0.0201,0.9936,0.9333
19,0.0054,1.0000,0.9333
20,0.0045,1.0000,0.9333
